Size,MFLOPS_avg,MFLOPS_std,OPT,FLOP_theoretical
32,1194.9398894606443,18.07095641986784,-O,0.064512
64,761.8210353957779,251.78965882126084,-O,0.520192
96,960.3687579036119,89.49932362786714,-O,1.760256
128,913.2797142273962,56.823244869508606,-O,4.17792
160,886.665555381553,52.79002361429785,-O,8.1664
192,932.099566560591,31.112219505773027,-O,14.118912
224,890.9917372394947,39.591990801598044,-O,22.428672
256,907.8078587511213,9.981546081077726,-O,33.488896
288,901.1853733476361,20.569146405090667,-O,47.6928
320,876.7012863787496,32.327812228774526,-O,65.4336
352,884.2501395907587,41.4642069565374,-O,87.104512
384,887.743751683846,15.81865749297179,-O,113.098752
416,854.9104216822037,12.326927744006444,-O,143.809536
448,859.1086308674572,14.91411597581653,-O,179.63008
480,820.7397974517902,14.73378305847281,-O,220.9536
512,823.9212876985465,21.551408545958047,-O,268.173312
544,828.1208835810588,19.93056970437621,-O,321.682432
576,806.398435592137,30.225976502085846,-O,381.874176
608,729.3581714167284,102.43578542258913,-O,449.14176
640,811.0785640080215,14.08968515510577,-O,523.8784
672,806.6099909773943,26.415826265031484,-O,606.477312
704,788.6571591996963,18.073782107629928,-O,697.331712
736,768.0366788994567,20.927820400743286,-O,796.834816
768,750.9995216809325,10.756155660082774,-O,905.37984
800,727.6589329093237,21.939464018230677,-O,1023.36
832,618.0501826151816,149.62182035989062,-O,1151.168512
864,707.0507111938551,1.2042149661622643,-O,1289.198592
896,715.0657530559912,1.132579652494615,-O,1437.843456
928,709.8470888629239,8.568907364055255,-O,1597.49632
960,701.2398361496595,18.66754224710011,-O,1768.5504
992,478.8265624041181,62.741920861347396,-O,1951.398912
1024,319.9089315052898,50.80614419152476,-O,2146.435072
32,1100.1377341659233,23.585313705321933,-O1,0.064512
64,959.9204124603008,152.2313428604899,-O1,0.520192
96,742.6216385664135,311.57921889076084,-O1,1.760256
128,893.0931914977904,112.6824092439143,-O1,4.17792
160,902.2851580726232,42.52091778298941,-O1,8.1664
192,798.1128671311793,160.5500634247042,-O1,14.118912
224,868.9472967819662,38.00440697160908,-O1,22.428672
256,843.0410798406365,61.65100553151569,-O1,33.488896
288,599.9348455997355,398.9334385449098,-O1,47.6928
320,883.5283654470145,37.008155024851355,-O1,65.4336
352,877.9006859415875,7.155252516145452,-O1,87.104512
384,782.687867144028,14.6646294598715,-O1,113.098752
416,831.5276834492885,13.589599199642167,-O1,143.809536
448,816.196450528901,16.959580075653147,-O1,179.63008
480,799.2874985427421,20.403693124322924,-O1,220.9536
512,860.1965319179734,19.192392831359662,-O1,268.173312
544,852.6386762694127,1.082943462799775,-O1,321.682432
576,789.6156848007519,79.94078967829886,-O1,381.874176
608,793.6659610890066,10.075695210806291,-O1,449.14176
640,792.6888172209536,13.308498474552866,-O1,523.8784
672,769.8383509116625,15.824622980677631,-O1,606.477312
704,771.424557385685,14.816048209668912,-O1,697.331712
736,756.2585727920659,15.62704640971262,-O1,796.834816
768,756.6215667025508,15.0146194192169,-O1,905.37984
800,750.4235920876903,17.84785204048833,-O1,1023.36
832,604.4393191896385,142.80013764509658,-O1,1151.168512
864,721.9331078733552,15.438403660460889,-O1,1289.198592
896,702.0983649567312,33.92650647917387,-O1,1437.843456
928,720.7164097927158,7.955905632357871,-O1,1597.49632
960,577.8518022929487,103.20191638888143,-O1,1768.5504
992,515.549316760514,31.76297988450827,-O1,1951.398912
1024,280.8405078337827,44.46717007868309,-O1,2146.435072
32,1901.8811119030652,714.5363313539143,-O2,0.064512
64,2377.5770190490807,150.0885071565988,-O2,0.520192
96,1485.777121157403,689.9828756197453,-O2,1.760256
128,1961.2525544364773,37.148834762026056,-O2,4.17792
160,2042.830862062441,180.12519477345893,-O2,8.1664
192,1931.8387663375333,178.13561382677298,-O2,14.118912
224,1725.5189273041767,178.8029924662132,-O2,22.428672
256,1845.2611856449987,164.15278159397002,-O2,33.488896
288,1982.669767542601,148.72622268167018,-O2,47.6928
320,1954.307799590082,87.84548267118521,-O2,65.4336
352,1817.436096258448,178.65051771479165,-O2,87.104512
384,2009.0768063532196,118.74510666167922,-O2,113.098752
416,1927.932099787051,72.73648273894666,-O2,143.809536
448,2016.970450247405,64.31257480324707,-O2,179.63008
480,1816.1068935377064,224.91197087429333,-O2,220.9536
512,1937.2187207010322,30.98147070118377,-O2,268.173312
544,1907.2917845901047,35.724006902222335,-O2,321.682432
576,1812.4377259843186,50.27928775125244,-O2,381.874176
608,1807.9791233206658,41.89643237559592,-O2,449.14176
640,1718.6030437605853,97.60763256844027,-O2,523.8784
672,1743.6786172551758,18.29900736519364,-O2,606.477312
704,1718.546988944323,19.14518223944591,-O2,697.331712
736,1626.165697064903,83.5799000994827,-O2,796.834816
768,1616.9483897494367,33.85823352994539,-O2,905.37984
800,1520.3397019251486,59.75744424304162,-O2,1023.36
832,1356.2648436450172,208.4848709412848,-O2,1151.168512
864,1226.6605171093197,141.86827493369717,-O2,1289.198592
896,1120.2552183142968,366.2068316828071,-O2,1437.843456
928,1370.9802370119362,64.47001803573869,-O2,1597.49632
960,1420.2586446933074,9.567685543907254,-O2,1768.5504
992,723.674442733347,67.59196856792056,-O2,1951.398912
1024,305.37301976406275,30.903309441905556,-O2,2146.435072
32,2765.9130434782614,55.09284138636066,-O3,0.064512
64,2567.982362850937,56.13359400368594,-O3,0.520192
96,2123.8280910555004,246.09475381046576,-O3,1.760256
128,2320.2427451596513,9.058786980413096,-O3,4.17792
160,1967.4170829619454,95.1164462185645,-O3,8.1664
192,1699.4856817797508,177.68599297323385,-O3,14.118912
224,1950.637864025661,20.050773054726506,-O3,22.428672
256,2062.8122214864397,56.7789722251259,-O3,33.488896
288,1584.605534627581,377.08842882973596,-O3,47.6928
320,1771.533883394244,280.6461125809555,-O3,65.4336
352,2007.582858240469,51.30702066526745,-O3,87.104512
384,1966.9527690067396,142.4573708234181,-O3,113.098752
416,2012.979505720721,68.8966836732628,-O3,143.809536
448,2021.2386860448507,57.21117851965222,-O3,179.63008
480,1944.728585128861,69.58710875130143,-O3,220.9536
512,1857.4484647519148,71.57269225700685,-O3,268.173312
544,1861.6855202720628,58.9881129185859,-O3,321.682432
576,1660.6174524732644,63.026151856004645,-O3,381.874176
608,1635.0831662650799,90.3163822412917,-O3,449.14176
640,1786.9222188114325,15.90218341730506,-O3,523.8784
672,1399.1047912045788,236.8170640162282,-O3,606.477312
704,1697.314395281397,23.017065197361454,-O3,697.331712
736,1576.8335029978525,130.39932722401375,-O3,796.834816
768,1480.3621302774718,123.7208005682751,-O3,905.37984
800,1526.2094036587966,33.95603099358818,-O3,1023.36
832,1452.4755863917337,44.87731074753872,-O3,1151.168512
864,1141.6119848176875,395.4336275610106,-O3,1289.198592
896,1451.4133652786386,11.381125013760155,-O3,1437.843456
928,1456.9500632267707,55.473662639868095,-O3,1597.49632
960,1422.342025412963,18.80851331273406,-O3,1768.5504
992,707.7186936639586,46.8022457576563,-O3,1951.398912
1024,315.9259677574655,19.57822196939497,-O3,2146.435072
