Size,Threads,MFLOPS_avg,MFLOPS_std,FLOP
32,1,2422.153846153846,83.54738583865661,64512
64,1,1775.6097352128643,235.14156805823646,520192
96,1,2400.5713571911115,106.4662955686033,1760256
128,1,2141.943176709298,197.43476194340707,4177920
160,1,2004.9516861668142,240.57602027162835,8166400
192,1,1522.1540141657513,455.5811080984449,14118912
224,1,1831.6619995467433,25.285301833049225,22428672
256,1,1677.8533934642855,42.5709335507884,33488896
288,1,1919.9254898418967,138.57669434717437,47692800
320,1,1915.7238287870143,149.62807267433527,65433600
352,1,1935.7745827200022,40.95205847651552,87104512
384,1,1867.5801136228602,113.69670471942548,113098752
416,1,1888.6675158868265,89.43893669598704,143809536
448,1,1823.0107696194261,79.9490371077698,179630080
480,1,1841.5505531432138,154.63675931218535,220953600
512,1,1891.1046585215815,73.03034796473021,268173312
544,1,1835.2527371754898,82.56578991215642,321682432
576,1,1936.4462841538043,12.364415210019171,381874176
608,1,1614.8117971250497,196.71952557569614,449141760
640,1,1303.5637713337094,96.7011832372285,523878400
672,1,1315.5761783482412,82.95469568187391,606477312
704,1,1220.3245115220284,18.586942453769954,697331712
736,1,1314.510432823727,292.5574324788372,796834816
768,1,1628.981428095746,75.81277555031708,905379840
800,1,1612.5678497903373,84.12189846688003,1023360000
832,1,1361.9146409224088,133.23573988934857,1151168512
864,1,1282.0516339598291,113.68577714679422,1289198592
896,1,981.6911499286686,310.2497735952954,1437843456
928,1,1118.6664891572989,209.49899649119217,1597496320
960,1,1247.447281240441,94.6832041371204,1768550400
992,1,632.276798148872,30.4868328978295,1951398912
1024,1,257.313012193171,55.892267973448554,2146435072
32,2,536.3035350331367,64.31039036964609,64512
64,2,2398.7634524745886,307.6806439807831,520192
96,2,2767.6835310723945,1319.8649803584503,1760256
128,2,2695.8190135647546,1436.7537214876945,4177920
160,2,2575.99206660944,1209.6183305007712,8166400
192,2,2549.064924592379,739.4754442895071,14118912
224,2,2550.299634276425,967.140217538129,22428672
256,2,3686.5321827854605,192.19025577647128,33488896
288,2,3462.2601987686407,270.1678001429682,47692800
320,2,3230.6019551957615,332.35593042000727,65433600
352,2,3211.060343317569,473.2799864638652,87104512
384,2,3464.9428191903057,74.47701289789724,113098752
416,2,3548.1050796037903,313.1367290490218,143809536
448,2,2414.9000695006534,1225.1298052658192,179630080
480,2,3174.4596556974193,257.22212247613106,220953600
512,2,3440.6901338045377,84.50870220294522,268173312
544,2,2968.014743647536,257.29462608598635,321682432
576,2,3113.6186636851667,146.01205538165786,381874176
608,2,2964.8719321981766,117.83208209734497,449141760
640,2,2785.1894920053514,162.31420386109744,523878400
672,2,2636.8228899950427,75.51634161852728,606477312
704,2,2291.8805258889465,151.85836293582898,697331712
736,2,2508.1526812617844,201.36639612293652,796834816
768,2,2080.6475023413955,78.98931153186217,905379840
800,2,2945.2427016579154,338.6639113537743,1023360000
832,2,2771.758755635836,265.5344725245975,1151168512
864,2,2333.71434641285,269.44914196073955,1289198592
896,2,2654.1073122550447,249.6499765925503,1437843456
928,2,2375.1213464630814,344.22544377438055,1597496320
960,2,2407.508843297864,123.83637299844928,1768550400
992,2,1360.2252850499829,75.8007272841265,1951398912
1024,2,441.56136940346886,66.6855226900838,2146435072
32,4,261.9688221499792,78.4975259993371,64512
64,4,1506.128955551997,825.3968909633511,520192
96,4,3697.8679911918807,534.2568755437942,1760256
128,4,5426.594451954981,771.9852455891777,4177920
160,4,6083.5872064815585,232.72949540138993,8166400
192,4,4474.870156316003,365.6363182942843,14118912
224,4,4665.831749866557,2078.0571013824733,22428672
256,4,5204.226929370747,320.35895144940014,33488896
288,4,4078.2719153793237,1523.1815912791287,47692800
320,4,6243.978885137246,484.50690352398703,65433600
352,4,4978.7359690767535,525.898173955503,87104512
384,4,5167.736408063906,415.0175282542046,113098752
416,4,5995.736650482812,652.4991627688945,143809536
448,4,5286.462558682732,226.82338535060433,179630080
480,4,5614.498233930203,237.14924902099764,220953600
512,4,5934.473444302915,324.1269143940689,268173312
544,4,5247.431962848778,258.05611771375254,321682432
576,4,5522.488275981267,399.30939892041755,381874176
608,4,5682.750260149337,615.3279446371386,449141760
640,4,5705.236488884283,278.837262379414,523878400
672,4,4779.30629604686,1321.701917913189,606477312
704,4,4953.942809808827,490.92998147860635,697331712
736,4,4944.107512595779,309.1275334847082,796834816
768,4,5175.707505542322,625.1213597741743,905379840
800,4,4497.08113379281,728.0880978616357,1023360000
832,4,4937.644634755806,250.5593651399852,1151168512
864,4,3945.1372809288623,177.19524014752264,1289198592
896,4,4022.1505966345126,408.95801025212177,1437843456
928,4,4233.271602918074,465.8120931367115,1597496320
960,4,3828.0730974840612,246.96616417744883,1768550400
992,4,1819.4608102489954,183.91708808499425,1951398912
1024,4,990.1464363729477,211.0434093925412,2146435072
32,8,117.05853193811787,56.835913944904554,64512
64,8,1030.4302092132277,181.23908492457537,520192
96,8,2735.1118353945567,477.89866739797884,1760256
128,8,1635.2937017337144,283.97790285332417,4177920
160,8,7302.168801616334,529.7468475871523,8166400
192,8,6828.072180101603,3086.8063435373583,14118912
224,8,7518.753278741773,1542.1962867576635,22428672
256,8,5556.141492800733,677.4488928777452,33488896
288,8,7744.459965918999,127.45791315836176,47692800
320,8,7801.882521911287,1236.8437779356975,65433600
352,8,7281.808332546851,943.3320103445956,87104512
384,8,7244.079712802247,1155.5219044749313,113098752
416,8,7758.613454458923,578.0399233561357,143809536
448,8,7480.213673908613,679.4458994035351,179630080
480,8,6246.433395346295,1321.0944998459363,220953600
512,8,8224.351709628025,428.18947807330727,268173312
544,8,8296.580222704606,157.55046851015672,321682432
576,8,8296.13896905291,218.80703658115578,381874176
608,8,8135.313965702287,294.89048858400633,449141760
640,8,7448.954200680579,786.435343559429,523878400
672,8,8343.900943983152,236.44981391671038,606477312
704,8,6983.2808331619735,215.9035324236329,697331712
736,8,5600.07510162632,323.39698918821745,796834816
768,8,4850.74991012807,356.39005196877713,905379840
800,8,5109.717030823259,430.47214972488916,1023360000
832,8,5234.230396522283,417.04226854017537,1151168512
864,8,5294.034769618556,324.8109621727522,1289198592
896,8,4420.88097615581,195.92967750952735,1437843456
928,8,3753.219851435846,1897.6816921706945,1597496320
960,8,4403.228391858728,513.1220200272776,1768550400
992,8,2257.42959954233,135.1615137295092,1951398912
1024,8,1476.7947304721636,211.81365915062784,2146435072
32,16,39.18881257590215,12.842284160701988,64512
64,16,385.02616887851696,32.81625865857703,520192
96,16,889.8039230808513,489.7945775771494,1760256
128,16,2384.727163145602,395.9139997125924,4177920
160,16,4440.708908553446,134.7048248376892,8166400
192,16,5813.803969392975,424.5199682793867,14118912
224,16,4168.710957866242,2181.856695407077,22428672
256,16,7157.681761472493,467.6690149312682,33488896
288,16,7336.659338193101,249.6896809209874,47692800
320,16,7238.107053849337,2174.898343609914,65433600
352,16,7242.6557392993855,176.90035110061376,87104512
384,16,5913.069639190001,962.5536010200955,113098752
416,16,6515.0826974677575,1247.642448621894,143809536
448,16,7524.304925722828,742.3314130531149,179630080
480,16,8204.303499271824,917.3148308966596,220953600
512,16,8117.7231091823605,465.36554337924827,268173312
544,16,7886.663169704737,1817.4864093163826,321682432
576,16,8881.454965300594,853.4808792077603,381874176
608,16,8600.343744743455,146.3572201777893,449141760
640,16,8591.05158613946,76.10993675021965,523878400
672,16,8916.71604917661,520.3863900577293,606477312
704,16,7349.225599651511,495.7243190950661,697331712
736,16,5307.052354005898,424.46907812880255,796834816
768,16,4998.828702332263,327.9901002463725,905379840
800,16,3934.7794958643044,258.3672048997973,1023360000
832,16,5201.9735341237065,236.567550695084,1151168512
864,16,4428.125022454581,136.1243969780424,1289198592
896,16,3394.426631945789,413.02937537934224,1437843456
928,16,4095.6382474526363,123.31933919587578,1597496320
960,16,3607.8685415562654,244.81981154078136,1768550400
992,16,1664.7638268322844,35.34083394261835,1951398912
1024,16,1257.2926929960947,3.9565027233317123,2146435072
