Size,FLOPS_avg,FLOPS_std,UNROLL
32,702664526.4847513,31380559.046943337,1
160,669888017.3514997,58097497.4526163,1
288,634222710.0745511,12421505.313353028,1
416,562322703.2914319,35125222.53509355,1
544,511291998.2647043,14330583.721624354,1
672,464538501.5146239,6724922.007333613,1
800,443409503.8630116,6130364.971459004,1
928,381526420.3666863,48388180.724400744,1
32,615793602.3898462,106732945.6557085,2
160,604549776.0555309,155838548.80404297,2
288,627120806.4479796,25299355.905238915,2
416,579124370.0392921,14898095.789542377,2
544,511899246.0427688,19612124.23189615,2
672,475735178.22281575,11673757.869104007,2
800,429227948.5412167,17069613.98624043,2
928,380931793.2961833,49246331.55764586,2
32,724853932.5842699,1.1920928955078125e-07,4
160,607018784.0041364,76146973.63464904,4
288,629547558.0107279,37752226.855171286,4
416,581266830.3086047,22271252.9843383,4
544,513244375.0493462,15902212.006425248,4
672,478601931.8743941,11508621.149509603,4
800,442271079.52877945,6559737.605583696,4
928,385307839.84988856,50847679.20528881,4
32,648551310.8614233,102266082.87969463,8
160,653879111.9385625,98089761.73683095,8
288,639929649.9167339,13836120.788660672,8
416,548456487.8592448,22079344.432533424,8
544,523076086.7279399,10180585.063089443,8
672,481917897.0180823,2519267.274889021,8
800,439629949.9863308,5827343.293567468,8
928,418260870.801933,2967067.3724453878,8
32,686103879.5844817,54800850.49497648,16
160,652782712.8450694,69493572.11233495,16
288,638588048.8356253,15230227.41318334,16
416,544072721.0663863,70337524.89328852,16
544,439303703.30942744,70044120.05633438,16
672,491395178.74935454,10530970.384813307,16
800,457995081.52833205,9762228.481288534,16
928,390681580.6288689,46381129.38114522,16
