L,M,N,FLOPS_avg,FLOPS_std,FLOP,Time_avg,Variation
128,256,256,352711206.209104,47919131.488934174,16744448,0.047473535587279,L
256,256,256,448457967.57492113,42567112.06945243,33488896,0.07467566287448157,L
384,256,256,460052110.6043491,13858897.724134773,50233344,0.10919055220507692,L
512,256,256,411778504.47205377,61501333.27714473,66977792,0.16265490129426022,L
640,256,256,439475059.33189887,21026004.721790668,83722240,0.1905050997143653,L
768,256,256,434205380.3155914,29128789.402628496,100466688,0.23138056909147067,L
256,128,256,501378973.2185765,11887951.694001587,16711680,0.033331433691206135,M
256,256,256,459555886.408601,15076801.06538046,33488896,0.07287230343563547,M
256,384,256,431968846.9562723,18584364.708586283,50266112,0.1163651322408636,M
256,512,256,389028247.1877589,22984933.74681623,67043328,0.17233537277729474,M
256,640,256,364080084.9703026,23948297.95073598,83820544,0.2302255670118213,M
256,768,256,362379720.3464801,38874220.84495378,100597760,0.2776031724507542,M
256,256,128,485397322.08551615,29042006.139304023,16744448,0.034496374903877206,N
256,256,256,469701555.49304557,15932960.827422414,33488896,0.07129824376427009,N
256,256,384,397436240.6182315,32932993.315506738,50233344,0.12639346608618174,N
256,256,512,397045429.0655136,28525724.083884012,66977792,0.1686905001214571,N
256,256,640,402779378.14335394,7379681.770402701,83722240,0.20786128720374125,N
256,256,768,379014399.6406717,13496398.505283387,100466688,0.26507353835434333,N
